seed,round,client_id,gap
42,1,0,0.1028594122319301
42,2,0,0.018069896743447167
42,3,0,0.015687053216838748
42,4,0,0.014495631453534552
42,5,0,0.26350277998411437
42,6,0,0.2601270849880858
42,7,0,0.2595313741064337
42,8,0,0.2565528196981731
42,9,0,0.25238284352660845
42,10,0,0.2537728355837967
42,11,0,0.2718427323272439
42,12,0,0.5270055599682287
42,1,1,0.33042096902303414
42,2,1,0.004567116759332829
42,3,1,0.2521842732327244
42,4,1,0.0
42,5,1,0.001389992057188233
42,6,1,0.0033756949960285776
42,7,1,0.0009928514694201585
42,8,1,0.0
42,9,1,0.0025814138204924564
42,10,1,0.000595710881652084
42,11,1,0.0017871326449563074
42,12,1,0.0
42,1,2,0.30500397140587765
42,2,2,0.05023828435266087
42,3,2,0.27859412231930103
42,4,2,0.02323272438443208
42,5,2,0.02303415409054807
42,6,2,0.012708498808578217
42,7,2,0.014297061159650515
42,8,2,0.014297061159650515
42,9,2,0.010127084988085788
42,10,2,0.008737092930897555
42,11,2,0.007744241461477369
42,12,2,0.011318506751389984
42,1,3,0.3063939634630659
42,2,3,0.04050833995234315
42,3,3,0.28395552025417
42,4,3,0.0363383637807784
42,5,3,0.025019857029388415
42,6,3,0.018864177918983316
42,7,3,0.01866560762509928
42,8,3,0.012112787926926133
42,9,3,0.009531374106433677
42,10,3,0.015687053216838776
42,11,3,0.0057585385226370245
42,12,3,0.008141382049245444
123,1,0,0.3879310344827586
123,2,0,0.028246515040352166
123,3,0,0.26559060895084374
123,4,0,0.01210564930300806
123,5,0,0.010454878943506968
123,6,0,0.00935436537050624
123,7,0,0.006969919295671312
123,8,0,0.005869405722670584
123,9,0,0.005869405722670584
123,10,0,0.004768892149669857
123,11,0,0.004952311078503302
123,12,0,0.004768892149669857
123,1,1,0.12454145267791637
123,2,1,0.001467351430667646
123,3,1,0.0012839325018342007
123,4,1,0.0027512839325018468
123,5,1,0.0027512839325018468
123,6,1,0.0025678650036683737
123,7,1,0.004218635363169493
123,8,1,0.004402054292002938
123,9,1,0.002934702861335292
123,10,1,0.002934702861335292
123,11,1,0.0027512839325018468
123,12,1,0.001467351430667646
123,1,2,0.00605282465150403
123,2,2,0.03613352898019076
123,3,2,0.026228906823184156
123,4,2,0.02109317681584741
123,5,2,0.021276595744680854
123,6,2,0.022193690388848136
123,7,2,0.011738811445341168
123,8,2,0.014673514306676433
123,9,2,0.019809244314013208
123,10,2,0.008437270726338958
123,11,2,0.014306676449009542
123,12,2,0.012655906089508423
123,1,3,0.3116287600880411
123,2,3,0.05135730007336756
123,3,3,0.041269258987527535
123,4,3,0.027696258253851802
123,5,3,0.023844460748349228
123,6,3,0.0214600146735143
123,7,3,0.02347762289068231
123,8,3,0.015957446808510634
123,9,3,0.015957446808510634
123,10,3,0.014306676449009514
123,11,3,0.014490095377842988
123,12,3,0.01210564930300806
7,1,0,0.29901574803149605
7,2,0,0.01692913385826772
7,3,0,0.010629921259842523
7,4,0,0.2600393700787401
7,5,0,0.009251968503937003
7,6,0,0.006692913385826782
7,7,0,0.007677165354330717
7,8,0,0.2559055118110236
7,9,0,0.2549212598425197
7,10,0,0.2541338582677165
7,11,0,0.5001968503937008
7,12,0,0.5023622047244094
7,1,1,0.1533464566929134
7,2,1,0.0005905511811023778
7,3,1,0.2511811023622047
7,4,1,0.0005905511811023778
7,5,1,0.0009842519685039353
7,6,1,0.0013779527559054927
7,7,1,0.0013779527559055205
7,8,1,0.0001968503937007926
7,9,1,0.0011811023622047279
7,10,1,0.0013779527559054927
7,11,1,0.0001968503937007926
7,12,1,0.00059055118110235
7,1,2,0.27716535433070866
7,2,2,0.043307086614173235
7,3,2,0.2844488188976378
7,4,2,0.2799212598425197
7,5,2,0.021259842519685046
7,6,2,0.017125984251968485
7,7,2,0.01751968503937007
7,8,2,0.014173228346456679
7,9,2,0.011811023622047251
7,10,2,0.017125984251968512
7,11,2,0.008070866141732302
7,12,2,0.012007874015748016
7,1,3,0.042322834645669286
7,2,3,0.04803149606299212
7,3,3,0.27716535433070866
7,4,3,0.029527559055118113
7,5,3,0.02539370078740158
7,6,3,0.014566929133858264
7,7,3,0.020669291338582668
7,8,3,0.014566929133858264
7,9,3,0.011220472440944873
7,10,3,0.00984251968503938
7,11,3,0.010629921259842523
7,12,3,0.009842519685039353
