round,phase,active_task,overall_acc,overall_attack_recall,recall_DoS,recall_Fuzzy,recall_RPM,recall_gear
0,-1,init,0.43214,0.6627804274863098,0.0,0.7513899920571883,1.0,1.0
1,0,DoS,0.88678,0.0,0.0,0.0,0.0,0.0
2,0,DoS,0.91312,0.28192898781134074,1.0,0.0,0.0,0.0
3,0,DoS,0.91576,0.28192898781134074,1.0,0.0,0.0,0.0
4,0,DoS,0.91666,0.28192898781134074,1.0,0.0,0.0,0.0
5,0,DoS,0.91758,0.28192898781134074,1.0,0.0,0.0,0.0
6,0,DoS,0.91758,0.28192898781134074,1.0,0.0,0.0,0.0
7,0,DoS,0.9181,0.28192898781134074,1.0,0.0,0.0,0.0
8,1,Fuzzy,0.88678,0.0,0.0,0.0,0.0,0.0
9,1,Fuzzy,0.90354,0.16357534004592827,0.0,0.7355043685464655,0.0,0.0
10,1,Fuzzy,0.90808,0.19908143437555204,0.0,0.8951548848292296,0.0,0.0
11,1,Fuzzy,0.90938,0.2068539127362657,0.0,0.9301032565528197,0.0,0.0
12,1,Fuzzy,0.91008,0.21056350468115173,0.0,0.9467831612390787,0.0,0.0
13,1,Fuzzy,0.91044,0.21215332980038862,0.0,0.9539316918189039,0.0,0.0
14,1,Fuzzy,0.91068,0.21338986044868397,0.0,0.9594916600476568,0.0,0.0
15,2,RPM,0.93506,0.4266030736618972,0.0,0.7863383637807784,1.0,0.0
16,2,RPM,0.9295,0.3773184949655538,0.0,0.5647339158061954,1.0,0.0
17,2,RPM,0.92546,0.34163575340045926,0.0,0.40428911834789516,1.0,0.0
18,2,RPM,0.92268,0.317081787670023,0.0,0.29388403494837173,1.0,0.0
19,2,RPM,0.92194,0.31054583995760465,0.0,0.26449563145353455,1.0,0.0
20,2,RPM,0.9216,0.30754283695460166,0.0,0.2509928514694202,1.0,0.0
21,2,RPM,0.92136,0.3054230701289525,0.0,0.2414614773629865,1.0,0.0
22,3,gear,0.94534,0.5742801625154567,0.0,0.3534551231135822,1.0,1.0
23,3,gear,0.94366,0.5340045928281223,0.0,0.17235901509134233,1.0,1.0
24,3,gear,0.9427,0.5165165165165165,0.0,0.0937251787132645,1.0,1.0
25,3,gear,0.942,0.5071542130365659,0.0,0.051628276409849086,1.0,1.0
26,3,gear,0.94204,0.5022080904433845,0.0,0.02938840349483717,1.0,1.0
27,3,gear,0.9423,0.5006182653241477,0.0,0.022239872915011914,1.0,1.0
28,3,gear,0.94172,0.49920508744038156,0.0,0.015885623510722795,1.0,1.0
29,3,gear,0.9135,0.2465995407171878,0.0,0.011914217633042097,0.0,1.0
30,3,gear,0.91386,0.2458929517753047,0.0,0.008737092930897538,0.0,1.0
